City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,Tasiilaq,65.6145,-37.6368,37.56,65,100,25.75,GL,2021-12-12 04:46:20
281,Wollongong,-34.4333,150.8833,73.22,62,21,15.75,AU,2021-12-12 04:46:21
282,Elatia,39.8112,22.5382,43.36,89,47,3.83,GR,2021-12-12 04:46:21
283,Baykit,61.67,96.37,-1.44,98,97,2.68,RU,2021-12-12 04:46:21
284,Tezu,27.9167,96.1667,75.24,33,1,4.09,IN,2021-12-12 04:46:22
285,Khunti,23.0833,85.2833,66.31,50,0,5.68,IN,2021-12-12 04:46:22
286,Tiznit,29.5833,-9.5,56.79,31,1,5.91,MA,2021-12-12 04:46:22
287,Ogulin,45.2661,15.2286,38.23,97,63,2.42,HR,2021-12-12 04:46:23
288,Tautira,-17.7333,-149.15,82.42,72,39,7.31,PF,2021-12-12 04:46:23
289,Te Anau,-45.4167,167.7167,66.94,36,17,1.81,NZ,2021-12-12 04:46:23
290,Geraldton,-28.7667,114.6,77.41,44,7,23.02,AU,2021-12-12 04:46:24
291,Muros,42.7762,-9.0603,52.84,96,96,4.0,ES,2021-12-12 04:46:24
292,Kigoma,-4.8769,29.6267,74.7,77,98,8.03,TZ,2021-12-12 04:46:25
293,Tabas,33.5959,56.9244,55.69,33,0,5.03,IR,2021-12-12 04:46:25
294,Kamenka,51.3223,42.7678,22.75,65,80,9.22,RU,2021-12-12 04:46:25
295,Izberbash,42.5696,47.8645,35.65,84,99,4.18,RU,2021-12-12 04:46:26
296,Muroto,33.2833,134.15,66.24,62,1,10.76,JP,2021-12-12 04:46:26
297,Seoul,37.5683,126.9778,43.99,36,75,17.27,KR,2021-12-12 04:46:26
298,Sayyan,15.1718,44.3244,44.56,54,0,4.63,YE,2021-12-12 04:46:27
299,Salvatierra,20.2167,-100.8833,49.15,45,95,4.25,MX,2021-12-12 04:46:27
300,Tilichiki,60.4667,166.1,-11.31,83,52,9.57,RU,2021-12-12 04:46:27
301,Sao Filipe,14.8961,-24.4956,74.59,68,80,4.63,CV,2021-12-12 04:46:28
302,Atikokan,48.7555,-91.6216,19.96,89,30,9.48,CA,2021-12-12 04:46:28
303,Thompson,55.7435,-97.8558,-5.64,77,90,0.0,CA,2021-12-12 04:46:28
304,Banjar,-8.19,114.9675,87.66,73,81,1.48,ID,2021-12-12 04:46:29
305,Matagami,49.7502,-77.6328,21.31,86,90,19.57,CA,2021-12-12 04:46:29
306,San Policarpo,12.1791,125.5072,81.45,87,85,13.18,PH,2021-12-12 04:46:29
307,Pangnirtung,66.1451,-65.7125,-10.97,80,5,5.28,CA,2021-12-12 04:46:30
308,Tefe,-3.3542,-64.7114,73.42,99,100,2.3,BR,2021-12-12 04:46:30
309,Rincon,32.296,-81.2354,67.96,89,90,9.22,US,2021-12-12 04:46:31
310,Srednekolymsk,67.45,153.6833,-50.17,100,77,2.17,RU,2021-12-12 04:46:31
311,Dubai,25.2582,55.3047,76.21,68,40,4.61,AE,2021-12-12 04:43:33
312,Lebu,-37.6167,-73.65,51.62,88,43,8.3,CL,2021-12-12 04:46:31
313,Kaa-Khem,51.6833,94.7333,0.81,94,83,1.28,RU,2021-12-12 04:46:32
314,Beziers,43.3476,3.219,47.89,81,0,5.75,FR,2021-12-12 04:46:32
